Rk,Squad,Comp,Num_Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G_plus_A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG_plus_xAG,PrgC,PrgP,Gls_per90,Ast_per90,G_plus_A_per90,G_minus_PK_per90,G_plus_A_minus_PK_per90,xG_per90,xAG_per90,xG_plus_xAG_per90,npxG_per90,npxG_plus_xAG_per90,Season
1.0,Alavés,La Liga,30.0,25.5,40.3,38.0,418.0,3420.0,38.0,40.0,31.0,71.0,39.0,1.0,3.0,109.0,4.0,38.5,36.1,27.7,63.8,454.0,1045.0,1.05,0.82,1.87,1.03,1.84,1.01,0.73,1.74,0.95,1.68,2017-2018
2.0,Amiens,Ligue 1,30.0,27.5,43.3,38.0,418.0,3420.0,38.0,36.0,24.0,60.0,33.0,3.0,4.0,74.0,5.0,32.8,29.8,21.3,51.1,547.0,1178.0,0.95,0.63,1.58,0.87,1.5,0.86,0.56,1.42,0.78,1.35,2017-2018
3.0,Angers,Ligue 1,27.0,27.1,45.1,38.0,418.0,3420.0,38.0,41.0,30.0,71.0,37.0,4.0,4.0,70.0,3.0,47.6,44.5,35.3,79.8,699.0,1430.0,1.08,0.79,1.87,0.97,1.76,1.25,0.93,2.18,1.17,2.1,2017-2018
4.0,Arsenal,Premier League,30.0,26.8,61.4,38.0,418.0,3420.0,38.0,73.0,61.0,134.0,69.0,4.0,5.0,57.0,0.0,68.3,64.3,53.3,117.6,915.0,2223.0,1.92,1.61,3.53,1.82,3.42,1.8,1.4,3.2,1.69,3.1,2017-2018
5.0,Atalanta,Serie A,25.0,25.7,55.4,38.0,418.0,3420.0,38.0,57.0,38.0,95.0,52.0,5.0,9.0,66.0,0.0,64.1,57.2,44.7,101.8,933.0,1920.0,1.5,1.0,2.5,1.37,2.37,1.69,1.18,2.86,1.5,2.68,2017-2018
6.0,Athletic Club,La Liga,26.0,26.7,49.6,38.0,418.0,3420.0,38.0,39.0,25.0,64.0,33.0,6.0,8.0,93.0,0.0,49.7,43.8,33.7,77.5,652.0,1519.0,1.03,0.66,1.68,0.87,1.53,1.31,0.89,2.19,1.15,2.04,2017-2018
7.0,Atlético Madrid,La Liga,26.0,26.6,47.5,38.0,418.0,3420.0,38.0,57.0,41.0,98.0,53.0,4.0,5.0,96.0,5.0,50.2,46.3,36.6,82.9,703.0,1460.0,1.5,1.08,2.58,1.39,2.47,1.32,0.96,2.28,1.22,2.18,2017-2018
8.0,Augsburg,Bundesliga,27.0,26.6,45.7,34.0,374.0,3060.0,34.0,41.0,30.0,71.0,37.0,4.0,4.0,68.0,0.0,44.7,41.6,32.3,73.9,524.0,1117.0,1.21,0.88,2.09,1.09,1.97,1.32,0.95,2.27,1.22,2.17,2017-2018
9.0,Barcelona,La Liga,25.0,27.7,62.8,38.0,418.0,3420.0,38.0,96.0,74.0,170.0,93.0,3.0,5.0,67.0,2.0,83.5,80.1,64.6,144.7,1025.0,2151.0,2.53,1.95,4.47,2.45,4.39,2.2,1.7,3.9,2.11,3.81,2017-2018
10.0,Bayern Munich,Bundesliga,28.0,27.4,66.1,34.0,374.0,3060.0,34.0,90.0,72.0,162.0,84.0,6.0,8.0,42.0,0.0,75.8,69.8,58.8,128.5,755.0,2333.0,2.65,2.12,4.76,2.47,4.59,2.23,1.73,3.96,2.05,3.78,2017-2018
11.0,Benevento,Serie A,41.0,26.0,47.5,38.0,418.0,3420.0,38.0,32.0,23.0,55.0,30.0,2.0,3.0,79.0,0.0,38.3,36.0,28.8,64.7,772.0,1216.0,0.84,0.61,1.45,0.79,1.39,1.01,0.76,1.77,0.95,1.7,2017-2018
12.0,Betis,La Liga,29.0,27.1,56.9,38.0,418.0,3420.0,38.0,56.0,43.0,99.0,54.0,2.0,3.0,91.0,3.0,46.0,43.7,35.2,78.9,736.0,1506.0,1.47,1.13,2.61,1.42,2.55,1.21,0.93,2.14,1.15,2.08,2017-2018
13.0,Bologna,Serie A,30.0,26.8,46.8,38.0,418.0,3420.0,38.0,37.0,18.0,55.0,35.0,2.0,3.0,101.0,0.0,36.6,34.3,24.3,58.6,586.0,1344.0,0.97,0.47,1.45,0.92,1.39,0.96,0.64,1.6,0.9,1.54,2017-2018
14.0,Bordeaux,Ligue 1,31.0,25.1,50.6,38.0,418.0,3420.0,38.0,52.0,36.0,88.0,48.0,4.0,6.0,74.0,2.0,51.0,46.1,35.9,82.0,875.0,1501.0,1.37,0.95,2.32,1.26,2.21,1.34,0.94,2.29,1.21,2.16,2017-2018
15.0,Bournemouth,Premier League,22.0,26.9,48.1,38.0,418.0,3420.0,38.0,45.0,36.0,81.0,42.0,3.0,3.0,57.0,0.0,38.8,36.4,29.1,65.5,702.0,1526.0,1.18,0.95,2.13,1.11,2.05,1.02,0.77,1.79,0.96,1.72,2017-2018
16.0,Brighton,Premier League,24.0,27.5,43.7,38.0,418.0,3420.0,38.0,33.0,25.0,58.0,28.0,5.0,7.0,54.0,0.0,37.0,31.8,26.2,58.0,523.0,1230.0,0.87,0.66,1.53,0.74,1.39,0.97,0.69,1.66,0.84,1.53,2017-2018
17.0,Burnley,Premier League,24.0,27.5,43.7,38.0,418.0,3420.0,38.0,35.0,26.0,61.0,35.0,0.0,0.0,65.0,0.0,32.3,32.3,23.6,55.9,431.0,1103.0,0.92,0.68,1.61,0.92,1.61,0.85,0.62,1.47,0.85,1.47,2017-2018
