Rk,Squad,Comp,Num_of_Players,Weekly_Wages,Annual_Wages,Pct_Estimated,Season,Weekly_Wages_EUR,Weekly_Wages_GBP,Weekly_Wages_USD,Annual_Wages_EUR,Annual_Wages_GBP,Annual_Wages_USD
1,Barcelona,La Liga,33,"€ 4,682,115 (£ 3,925,993, $4,771,599)","€ 243,470,000 (£ 204,151,634, $248,123,125)",100%,2017-2018,4682115.0,3925993.0,4771599.0,243470000.0,204151634.0,248123125.0
2,Real Madrid,La Liga,33,"€ 3,949,904 (£ 3,312,027, $4,025,393)","€ 205,395,000 (£ 172,225,426, $209,320,446)",100%,2017-2018,3949904.0,3312027.0,4025393.0,205395000.0,172225426.0,209320446.0
3,Paris S-G,Ligue 1,35,"€ 3,895,462 (£ 3,266,377, $3,969,910)","€ 202,564,000 (£ 169,851,608, $206,435,344)",100%,2017-2018,3895462.0,3266377.0,3969910.0,202564000.0,169851608.0,206435344.0
4,Manchester Utd,Premier League,35,"€ 3,810,955 (£ 3,195,596, $3,883,356)","€ 198,169,670 (£ 166,171,000, $201,934,520)",100%,2017-2018,3810955.0,3195596.0,3883356.0,198169670.0,166171000.0,201934520.0
5,Arsenal,Premier League,45,"€ 3,629,433 (£ 3,043,385, $3,698,385)","€ 188,730,521 (£ 158,256,000, $192,316,043)",100%,2017-2018,3629433.0,3043385.0,3698385.0,188730521.0,158256000.0,192316043.0
6,Bayern Munich,Bundesliga,38,"€ 3,491,942 (£ 2,928,023, $3,558,679)","€ 181,581,000 (£ 152,257,190, $185,051,324)",100%,2017-2018,3491942.0,2928023.0,3558679.0,181581000.0,152257190.0,185051324.0
7,Manchester City,Premier League,32,"€ 3,474,446 (£ 2,913,423, $3,540,453)","€ 180,671,167 (£ 151,498,000, $184,103,578)",100%,2017-2018,3474446.0,2913423.0,3540453.0,180671167.0,151498000.0,184103578.0
8,Chelsea,Premier League,46,"€ 2,790,189 (£ 2,339,654, $2,843,197)","€ 145,089,806 (£ 121,662,000, $147,846,240)",100%,2017-2018,2790189.0,2339654.0,2843197.0,145089806.0,121662000.0,147846240.0
9,Juventus,Serie A,33,"€ 2,717,212 (£ 2,278,405, $2,769,142)","€ 141,295,000 (£ 118,477,041, $143,995,386)",100%,2017-2018,2717212.0,2278405.0,2769142.0,141295000.0,118477041.0,143995386.0
10,Liverpool,Premier League,34,"€ 2,194,158 (£ 1,839,865, $2,235,843)","€ 114,096,241 (£ 95,673,000, $116,263,857)",100%,2017-2018,2194158.0,1839865.0,2235843.0,114096241.0,95673000.0,116263857.0
11,Milan,Serie A,42,"€ 2,035,731 (£ 1,706,977, $2,074,637)","€ 105,858,000 (£ 88,762,823, $107,881,122)",100%,2017-2018,2035731.0,1706977.0,2074637.0,105858000.0,88762823.0,107881122.0
12,Everton,Premier League,48,"€ 1,959,476 (£ 1,643,077, $1,996,702)","€ 101,892,731 (£ 85,440,000, $103,828,499)",100%,2017-2018,1959476.0,1643077.0,1996702.0,101892731.0,85440000.0,103828499.0
13,Atlético Madrid,La Liga,37,"€ 1,895,154 (£ 1,589,102, $1,931,373)","€ 98,548,000 (£ 82,633,324, $100,431,417)",100%,2017-2018,1895154.0,1589102.0,1931373.0,98548000.0,82633324.0,100431417.0
14,Tottenham,Premier League,34,"€ 1,841,549 (£ 1,544,192, $1,876,535)","€ 95,760,561 (£ 80,298,000, $97,579,832)",100%,2017-2018,1841549.0,1544192.0,1876535.0,95760561.0,80298000.0,97579832.0
15,West Ham,Premier League,41,"€ 1,594,665 (£ 1,337,173, $1,624,961)","€ 82,922,601 (£ 69,533,000, $84,497,976)",100%,2017-2018,1594665.0,1337173.0,1624961.0,82922601.0,69533000.0,84497976.0
16,Dortmund,Bundesliga,33,"€ 1,593,981 (£ 1,336,566, $1,624,444)","€ 82,887,000 (£ 69,501,446, $84,471,113)",100%,2017-2018,1593981.0,1336566.0,1624444.0,82887000.0,69501446.0,84471113.0
17,Southampton,Premier League,29,"€ 1,561,182 (£ 1,309,096, $1,590,841)","€ 81,181,461 (£ 68,073,000, $82,723,752)",100%,2017-2018,1561182.0,1309096.0,1590841.0,81181461.0,68073000.0,82723752.0
