,,,,,,Rk,Squad,Competition,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90
1,Alavés,es La Liga,30,25.5,40.3,38,418,"3,420",38.0,40,31,71,39,1,3,109,4,38.5,36.1,27.7,63.8,454,1045,1.05,0.82,1.87,1.03,1.84,1.01,0.73,1.74,0.95,1.68
2,Amiens,fr Ligue 1,30,27.5,43.3,38,418,"3,420",38.0,36,24,60,33,3,4,74,5,32.8,29.8,21.3,51.1,547,1178,0.95,0.63,1.58,0.87,1.50,0.86,0.56,1.42,0.78,1.35
3,Angers,fr Ligue 1,27,27.1,45.1,38,418,"3,420",38.0,41,30,71,37,4,4,70,3,47.6,44.5,35.3,79.8,699,1430,1.08,0.79,1.87,0.97,1.76,1.25,0.93,2.18,1.17,2.10
4,Arsenal,eng Premier League,30,26.8,61.4,38,418,"3,420",38.0,73,61,134,69,4,5,57,,68.3,64.3,53.3,117.6,915,2223,1.92,1.61,3.53,1.82,3.42,1.80,1.40,3.20,1.69,3.10
5,Atalanta,it Serie A,25,25.7,55.4,38,418,"3,420",38.0,57,38,95,52,5,9,66,,64.1,57.2,44.7,101.8,933,1920,1.50,1.00,2.50,1.37,2.37,1.69,1.18,2.86,1.50,2.68
6,Athletic Club,es La Liga,26,26.7,49.6,38,418,"3,420",38.0,39,25,64,33,6,8,93,0,49.7,43.8,33.7,77.5,652,1519,1.03,0.66,1.68,0.87,1.53,1.31,0.89,2.19,1.15,2.04
7,Atlético Madrid,es La Liga,26,26.6,47.5,38,418,"3,420",38.0,57,41,98,53,4,5,96,5,50.2,46.3,36.6,82.9,703,1460,1.50,1.08,2.58,1.39,2.47,1.32,0.96,2.28,1.22,2.18
8,Augsburg,de Bundesliga,27,26.6,45.7,34,374,"3,060",34.0,41,30,71,37,4,4,68,,44.7,41.6,32.3,73.9,524,1117,1.21,0.88,2.09,1.09,1.97,1.32,0.95,2.27,1.22,2.17
9,Barcelona,es La Liga,25,27.7,62.8,38,418,"3,420",38.0,96,74,170,93,3,5,67,2,83.5,80.1,64.6,144.7,1025,2151,2.53,1.95,4.47,2.45,4.39,2.20,1.70,3.90,2.11,3.81
10,Bayern Munich,de Bundesliga,28,27.4,66.1,34,374,"3,060",34.0,90,72,162,84,6,8,42,,75.8,69.8,58.8,128.5,755,2333,2.65,2.12,4.76,2.47,4.59,2.23,1.73,3.96,2.05,3.78
11,Benevento,it Serie A,41,26.0,47.5,38,418,"3,420",38.0,32,23,55,30,2,3,79,,38.3,36.0,28.8,64.7,772,1216,0.84,0.61,1.45,0.79,1.39,1.01,0.76,1.77,0.95,1.70
12,Betis,es La Liga,29,27.1,56.9,38,418,"3,420",38.0,56,43,99,54,2,3,91,3,46.0,43.7,35.2,78.9,736,1506,1.47,1.13,2.61,1.42,2.55,1.21,0.93,2.14,1.15,2.08
13,Bologna,it Serie A,30,26.8,46.8,38,418,"3,420",38.0,37,18,55,35,2,3,101,,36.6,34.3,24.3,58.6,586,1344,0.97,0.47,1.45,0.92,1.39,0.96,0.64,1.60,0.90,1.54
14,Bordeaux,fr Ligue 1,31,25.1,50.6,38,418,"3,420",38.0,52,36,88,48,4,6,74,2,51.0,46.1,35.9,82.0,875,1501,1.37,0.95,2.32,1.26,2.21,1.34,0.94,2.29,1.21,2.16
15,Bournemouth,eng Premier League,22,26.9,48.1,38,418,"3,420",38.0,45,36,81,42,3,3,57,,38.8,36.4,29.1,65.5,702,1526,1.18,0.95,2.13,1.11,2.05,1.02,0.77,1.79,0.96,1.72
16,Brighton,eng Premier League,24,27.5,43.7,38,418,"3,420",38.0,33,25,58,28,5,7,54,,37.0,31.8,26.2,58.0,523,1230,0.87,0.66,1.53,0.74,1.39,0.97,0.69,1.66,0.84,1.53
17,Burnley,eng Premier League,24,27.5,43.7,38,418,"3,420",38.0,35,26,61,35,0,0,65,,32.3,32.3,23.6,55.9,431,1103,0.92,0.68,1.61,0.92,1.61,0.85,0.62,1.47,0.85,1.47
18,Caen,fr Ligue 1,26,27.3,45.5,38,418,"3,420",38.0,25,19,44,20,5,8,68,4,42.8,36.6,29.6,66.3,598,1548,0.66,0.50,1.16,0.53,1.03,1.13,0.78,1.91,0.96,1.74
19,Cagliari,it Serie A,29,27.1,45.3,38,418,"3,420",38.0,33,21,54,29,4,7,96,,39.7,34.2,27.4,61.6,464,1348,0.87,0.55,1.42,0.76,1.32,1.04,0.72,1.77,0.90,1.62
20,Celta Vigo,es La Liga,23,25.7,55.7,38,418,"3,420",38.0,57,45,102,55,2,3,85,1,55.0,52.6,43.0,95.6,724,1595,1.50,1.18,2.68,1.45,2.63,1.45,1.13,2.58,1.39,2.52
21,Chelsea,eng Premier League,26,26.7,55.6,38,418,"3,420",38.0,60,42,102,57,3,3,46,,54.4,52.0,41.5,93.5,1045,1998,1.58,1.11,2.68,1.50,2.61,1.43,1.09,2.52,1.37,2.46
22,Chievo,it Serie A,25,30.3,44.4,38,418,"3,420",38.0,36,20,56,35,1,2,75,,34.1,32.5,25.2,57.7,554,1358,0.95,0.53,1.47,0.92,1.45,0.90,0.66,1.56,0.85,1.52
23,Crotone,it Serie A,29,25.6,39.9,38,418,"3,420",38.0,38,21,59,36,2,3,65,,34.6,32.2,23.4,55.6,472,1250,1.00,0.55,1.55,0.95,1.50,0.91,0.62,1.53,0.85,1.46
24,Crystal Palace,eng Premier League,28,27.1,45.2,38,418,"3,420",38.0,44,26,70,36,8,10,72,,53.5,45.9,33.3,79.2,727,1308,1.16,0.68,1.84,0.95,1.63,1.41,0.88,2.28,1.21,2.08
25,Dijon,fr Ligue 1,26,26.6,48.4,38,418,"3,420",38.0,52,36,88,47,5,5,70,5,41.6,37.8,29.2,67.0,659,1320,1.37,0.95,2.32,1.24,2.18,1.09,0.77,1.86,1.00,1.76
26,Dortmund,de Bundesliga,30,25.9,59.1,34,374,"3,060",34.0,62,44,106,59,3,6,41,,66.0,61.4,48.9,110.3,733,1712,1.82,1.29,3.12,1.74,3.03,1.94,1.44,3.38,1.81,3.24
27,Eibar,es La Liga,27,27.4,52.0,38,418,"3,420",38.0,43,31,74,41,2,3,86,3,40.9,38.6,30.2,68.8,635,1468,1.13,0.82,1.95,1.08,1.89,1.08,0.79,1.87,1.02,1.81
28,Eint Frankfurt,de Bundesliga,28,26.4,47.9,34,374,"3,060",34.0,44,34,78,42,2,2,72,,42.2,40.9,30.7,71.6,492,1292,1.29,1.00,2.29,1.24,2.24,1.24,0.90,2.14,1.20,2.11
29,Espanyol,es La Liga,25,26.8,46.9,38,418,"3,420",38.0,33,24,57,31,2,3,88,1,41.1,38.7,27.8,66.4,532,1276,0.87,0.63,1.50,0.82,1.45,1.08,0.73,1.81,1.02,1.75
30,Everton,eng Premier League,30,26.7,45.5,38,418,"3,420",38.0,42,26,68,37,5,8,55,,40.5,34.1,24.7,58.8,477,1161,1.11,0.68,1.79,0.97,1.66,1.07,0.65,1.71,0.90,1.55
31,Fiorentina,it Serie A,27,25.0,52.6,38,418,"3,420",38.0,53,32,85,46,7,8,89,,54.5,48.3,37.9,86.2,737,1695,1.39,0.84,2.24,1.21,2.05,1.43,1.00,2.43,1.27,2.27
32,Freiburg,de Bundesliga,29,24.8,44.8,34,374,"3,060",34.0,32,21,53,26,6,10,56,,39.6,31.7,25.0,56.8,399,1061,0.94,0.62,1.56,0.76,1.38,1.16,0.74,1.90,0.93,1.67
33,Genoa,it Serie A,33,27.9,46.3,38,418,"3,420",38.0,31,18,49,27,4,5,75,,43.5,39.6,31.9,71.5,699,1475,0.82,0.47,1.29,0.71,1.18,1.15,0.84,1.99,1.04,1.88
34,Getafe,es La Liga,32,28.2,40.2,38,418,"3,420",38.0,41,27,68,36,5,12,134,5,48.2,38.6,29.6,68.2,374,1092,1.08,0.71,1.79,0.95,1.66,1.27,0.78,2.05,1.02,1.79
35,Girona,es La Liga,25,26.3,46.8,38,418,"3,420",38.0,50,31,81,44,6,8,102,0,50.6,44.4,34.4,78.8,590,1215,1.32,0.82,2.13,1.16,1.97,1.33,0.90,2.24,1.17,2.07
36,Gladbach,de Bundesliga,27,25.7,52.0,34,374,"3,060",34.0,46,26,72,40,6,7,47,,51.1,45.8,35.0,80.8,578,1385,1.35,0.76,2.12,1.18,1.94,1.50,1.03,2.53,1.35,2.38
37,Guingamp,fr Ligue 1,23,27.2,49.7,38,418,"3,420",38.0,46,27,73,40,6,7,67,2,45.5,40.1,30.0,70.1,763,1519,1.21,0.71,1.92,1.05,1.76,1.20,0.79,1.99,1.06,1.85
38,Hamburger SV,de Bundesliga,29,25.0,49.0,34,374,"3,060",34.0,28,18,46,25,3,5,63,,37.7,33.8,24.1,58.0,568,1283,0.82,0.53,1.35,0.74,1.26,1.11,0.71,1.82,0.99,1.70
39,Hannover 96,de Bundesliga,26,26.4,46.9,34,374,"3,060",34.0,44,26,70,40,4,5,63,,44.6,40.6,30.7,71.4,472,1237,1.29,0.76,2.06,1.18,1.94,1.31,0.90,2.22,1.20,2.10
40,Hellas Verona,it Serie A,32,25.9,41.9,38,418,"3,420",38.0,30,19,49,23,7,7,98,,33.0,27.7,21.1,48.8,635,1077,0.79,0.50,1.29,0.61,1.11,0.87,0.56,1.42,0.73,1.28
41,Hertha BSC,de Bundesliga,25,26.4,46.1,34,374,"3,060",34.0,43,32,75,39,4,5,49,,39.2,35.3,27.8,63.1,426,1219,1.26,0.94,2.21,1.15,2.09,1.15,0.82,1.97,1.04,1.86
42,Hoffenheim,de Bundesliga,26,25.0,51.2,34,374,"3,060",34.0,64,47,111,60,4,5,71,,50.5,46.6,36.6,83.2,644,1351,1.88,1.38,3.26,1.76,3.15,1.48,1.08,2.56,1.37,2.45
43,Huddersfield,eng Premier League,25,26.4,45.7,38,418,"3,420",38.0,25,19,44,23,2,2,65,,31.3,29.8,23.7,53.5,627,1210,0.66,0.50,1.16,0.61,1.11,0.82,0.62,1.45,0.78,1.41
44,Inter,it Serie A,22,27.6,57.1,38,418,"3,420",38.0,64,34,98,58,6,7,69,,56.7,51.3,43.8,95.2,947,1877,1.68,0.89,2.58,1.53,2.42,1.49,1.15,2.65,1.35,2.51
45,Juventus,it Serie A,24,29.2,57.2,38,418,"3,420",38.0,82,39,121,78,4,8,66,,55.3,49.4,37.9,87.2,789,1704,2.16,1.03,3.18,2.05,3.08,1.46,1.00,2.45,1.30,2.30
46,Köln,de Bundesliga,31,25.3,47.4,34,374,"3,060",34.0,33,24,57,30,3,3,70,,43.2,41.0,29.8,70.8,507,1331,0.97,0.71,1.68,0.88,1.59,1.27,0.88,2.15,1.21,2.08
47,La Coruña,es La Liga,32,28.2,46.8,38,418,"3,420",38.0,38,30,68,35,3,5,100,2,51.6,47.7,40.0,87.7,640,1477,1.00,0.79,1.79,0.92,1.71,1.36,1.05,2.41,1.25,2.31
48,Las Palmas,es La Liga,36,27.0,54.7,38,418,"3,420",38.0,24,15,39,18,6,8,89,3,38.5,32.3,24.8,57.1,726,1332,0.63,0.39,1.03,0.47,0.87,1.01,0.65,1.66,0.85,1.50
49,Lazio,it Serie A,24,26.5,51.1,38,418,"3,420",38.0,86,51,137,77,9,11,79,,63.7,55.2,45.8,101.0,915,1802,2.26,1.34,3.61,2.03,3.37,1.68,1.21,2.88,1.45,2.66
50,Leganés,es La Liga,28,27.8,43.0,38,418,"3,420",38.0,32,23,55,30,2,3,105,5,39.9,37.6,30.0,67.6,534,1111,0.84,0.61,1.45,0.79,1.39,1.05,0.79,1.84,0.99,1.78
51,Leicester City,eng Premier League,27,27.2,48.0,38,418,"3,420",38.0,53,38,91,48,5,6,60,,50.0,45.3,34.9,80.2,655,1271,1.39,1.00,2.39,1.26,2.26,1.32,0.92,2.24,1.19,2.11
52,Levante,es La Liga,33,25.7,42.8,38,418,"3,420",38.0,43,28,71,38,5,5,111,6,44.7,40.8,31.8,72.7,676,1286,1.13,0.74,1.87,1.00,1.74,1.18,0.84,2.02,1.07,1.91
53,Leverkusen,de Bundesliga,24,24.0,54.6,34,374,"3,060",34.0,58,46,104,55,3,5,57,,57.5,53.6,42.4,95.9,696,1661,1.71,1.35,3.06,1.62,2.97,1.69,1.25,2.94,1.58,2.82
54,Lille,fr Ligue 1,25,22.6,53.8,38,418,"3,420",38.0,41,31,72,39,2,2,61,6,36.4,34.8,29.7,64.5,831,1581,1.08,0.82,1.89,1.03,1.84,0.96,0.78,1.74,0.92,1.70
55,Liverpool,eng Premier League,27,25.6,60.3,38,418,"3,420",38.0,82,58,140,80,2,3,44,,72.9,70.6,52.7,123.3,982,2236,2.16,1.53,3.68,2.11,3.63,1.92,1.39,3.31,1.86,3.24
56,Lyon,fr Ligue 1,26,24.4,55.6,38,418,"3,420",38.0,85,62,147,79,6,7,72,2,63.4,58.3,43.9,102.2,949,1670,2.24,1.63,3.87,2.08,3.71,1.67,1.15,2.82,1.53,2.69
57,Mainz 05,de Bundesliga,27,25.3,44.4,34,374,"3,060",34.0,38,27,65,34,4,4,63,,35.4,32.3,25.5,57.8,484,1116,1.12,0.79,1.91,1.00,1.79,1.04,0.75,1.79,0.95,1.70
58,Málaga,es La Liga,37,27.2,44.1,38,418,"3,420",38.0,23,15,38,19,4,6,101,8,38.4,33.7,26.3,60.0,463,1169,0.61,0.39,1.00,0.50,0.89,1.01,0.69,1.70,0.89,1.58
59,Manchester City,eng Premier League,25,26.4,71.0,38,418,"3,420",38.0,103,85,188,97,6,8,63,,78.6,72.7,57.9,130.6,1308,2570,2.71,2.24,4.95,2.55,4.79,2.07,1.52,3.59,1.91,3.44
60,Manchester Utd,eng Premier League,27,26.7,54.7,38,418,"3,420",38.0,67,53,120,66,1,3,64,,55.7,53.3,40.5,93.8,920,1564,1.76,1.39,3.16,1.74,3.13,1.47,1.07,2.53,1.40,2.47
61,Marseille,fr Ligue 1,26,27.2,57.8,38,418,"3,420",38.0,79,54,133,74,5,8,81,2,78.1,71.7,55.9,127.6,947,1586,2.08,1.42,3.50,1.95,3.37,2.06,1.47,3.53,1.89,3.36
62,Metz,fr Ligue 1,36,27.4,45.5,38,418,"3,420",38.0,33,27,60,30,3,4,80,7,40.3,37.2,30.0,67.3,589,1518,0.87,0.71,1.58,0.79,1.50,1.06,0.79,1.85,0.98,1.77
63,Milan,it Serie A,24,25.0,56.0,38,418,"3,420",38.0,54,28,82,50,4,6,75,,51.2,46.6,35.3,81.9,778,2016,1.42,0.74,2.16,1.32,2.05,1.35,0.93,2.28,1.23,2.15
64,Monaco,fr Ligue 1,32,25.8,50.9,38,418,"3,420",38.0,83,56,139,76,7,8,71,4,62.3,56.1,43.1,99.2,735,1742,2.18,1.47,3.66,2.00,3.47,1.64,1.13,2.77,1.48,2.61
65,Montpellier,fr Ligue 1,23,26.4,47.0,38,418,"3,420",38.0,36,28,64,36,0,2,72,1,42.6,41.0,31.0,72.1,749,1572,0.95,0.74,1.68,0.95,1.68,1.12,0.82,1.94,1.08,1.90
66,Nantes,fr Ligue 1,30,25.6,43.7,38,418,"3,420",38.0,36,24,60,32,4,5,68,6,41.8,37.9,29.4,67.3,559,1405,0.95,0.63,1.58,0.84,1.47,1.10,0.77,1.87,1.00,1.77
67,Napoli,it Serie A,23,28.0,63.4,38,418,"3,420",38.0,73,45,118,67,6,8,58,,67.1,60.7,50.8,111.6,971,2468,1.92,1.18,3.11,1.76,2.95,1.77,1.34,3.10,1.60,2.94
68,Newcastle Utd,eng Premier League,27,25.6,41.7,38,418,"3,420",38.0,38,29,67,38,0,1,54,,41.6,40.9,32.1,72.9,548,1145,1.00,0.76,1.76,1.00,1.76,1.10,0.84,1.94,1.08,1.92
69,Nice,fr Ligue 1,31,25.0,58.1,38,418,"3,420",38.0,52,35,87,44,8,10,82,4,49.2,41.7,31.9,73.6,841,1637,1.37,0.92,2.29,1.16,2.08,1.30,0.84,2.14,1.10,1.94
70,Paris S-G,fr Ligue 1,28,26.1,66.3,38,418,"3,420",38.0,100,75,175,93,7,9,69,6,86.1,79.3,65.1,144.4,1044,2068,2.63,1.97,4.61,2.45,4.42,2.26,1.71,3.98,2.09,3.80
71,RB Leipzig,de Bundesliga,23,23.4,55.0,34,374,"3,060",34.0,57,43,100,53,4,5,48,,51.9,48.0,39.6,87.6,778,1591,1.68,1.26,2.94,1.56,2.82,1.53,1.17,2.69,1.41,2.58
72,Real Madrid,es La Liga,24,27.1,60.2,38,418,"3,420",38.0,91,65,156,83,8,10,67,4,85.4,77.5,62.8,140.2,1131,2383,2.39,1.71,4.11,2.18,3.89,2.25,1.65,3.90,2.04,3.69
73,Real Sociedad,es La Liga,27,25.9,56.5,38,418,"3,420",38.0,64,47,111,60,4,5,64,5,53.7,49.7,38.9,88.7,883,1605,1.68,1.24,2.92,1.58,2.82,1.41,1.02,2.44,1.31,2.33
74,Rennes,fr Ligue 1,28,24.2,49.9,38,418,"3,420",38.0,48,32,80,42,6,8,67,5,49.8,43.6,33.0,76.5,619,1505,1.26,0.84,2.11,1.11,1.95,1.31,0.87,2.18,1.15,2.01
75,Roma,it Serie A,27,27.4,58.0,38,418,"3,420",38.0,56,37,93,53,3,6,48,,63.4,58.8,46.7,105.5,938,1989,1.47,0.97,2.45,1.39,2.37,1.67,1.23,2.90,1.55,2.78
76,Saint-Étienne,fr Ligue 1,30,26.6,51.3,38,418,"3,420",38.0,45,31,76,38,7,11,72,8,51.0,42.8,35.4,78.2,732,1552,1.18,0.82,2.00,1.00,1.82,1.34,0.93,2.27,1.13,2.06
77,Sampdoria,it Serie A,27,27.0,53.6,38,418,"3,420",38.0,56,33,89,49,7,8,69,,53.5,47.2,35.5,82.7,614,1627,1.47,0.87,2.34,1.29,2.16,1.41,0.93,2.34,1.24,2.18
78,Sassuolo,it Serie A,28,27.2,42.9,38,418,"3,420",38.0,28,16,44,24,4,10,89,,46.3,38.4,27.7,66.1,640,1492,0.74,0.42,1.16,0.63,1.05,1.22,0.73,1.95,1.01,1.74
79,Schalke 04,de Bundesliga,24,26.1,46.6,34,374,"3,060",34.0,50,33,83,40,10,10,66,,46.7,38.9,31.4,70.3,776,1248,1.47,0.97,2.44,1.18,2.15,1.37,0.92,2.30,1.14,2.07
80,Sevilla,es La Liga,31,27.1,54.3,38,418,"3,420",38.0,48,35,83,44,4,5,99,3,59.5,55.7,42.8,98.5,817,1824,1.26,0.92,2.18,1.16,2.08,1.57,1.13,2.69,1.47,2.59
81,Southampton,eng Premier League,26,26.2,51.3,38,418,"3,420",38.0,36,23,59,33,3,3,65,,39.9,37.6,29.5,67.0,694,1609,0.95,0.61,1.55,0.87,1.47,1.05,0.78,1.83,0.99,1.76
82,SPAL,it Serie A,29,26.7,44.7,38,418,"3,420",38.0,37,14,51,32,5,6,101,,35.8,31.1,21.5,52.5,704,1218,0.97,0.37,1.34,0.84,1.21,0.94,0.56,1.51,0.82,1.38
83,Stoke City,eng Premier League,30,27.5,41.4,38,418,"3,420",38.0,34,28,62,34,0,3,62,,36.5,34.1,27.4,61.4,477,1150,0.89,0.74,1.63,0.89,1.63,0.96,0.72,1.68,0.90,1.62
84,Strasbourg,fr Ligue 1,25,27.2,49.1,38,418,"3,420",38.0,43,26,69,36,7,7,72,4,45.5,40.0,29.8,69.8,658,1289,1.13,0.68,1.82,0.95,1.63,1.20,0.78,1.98,1.05,1.84
85,Stuttgart,de Bundesliga,26,25.6,46.6,34,374,"3,060",34.0,35,22,57,34,1,3,59,,40.3,38.0,26.3,64.3,474,1026,1.03,0.65,1.68,1.00,1.65,1.19,0.77,1.96,1.12,1.89
86,Swansea City,eng Premier League,26,27.2,45.3,38,418,"3,420",38.0,27,20,47,26,1,1,51,,31.6,30.8,20.2,51.0,596,1194,0.71,0.53,1.24,0.68,1.21,0.83,0.53,1.36,0.81,1.34
87,Torino,it Serie A,27,28.1,51.1,38,418,"3,420",38.0,53,36,89,53,0,2,78,,46.0,44.4,35.1,79.6,703,1425,1.39,0.95,2.34,1.39,2.34,1.21,0.92,2.14,1.17,2.09
88,Tottenham,eng Premier League,25,25.8,61.8,38,418,"3,420",38.0,70,51,121,68,2,3,52,,64.7,62.3,49.0,111.3,862,2249,1.84,1.34,3.18,1.79,3.13,1.70,1.29,2.99,1.64,2.93
89,Toulouse,fr Ligue 1,25,23.9,45.7,38,418,"3,420",38.0,35,24,59,27,8,11,93,3,45.5,37.0,29.1,66.1,667,1473,0.92,0.63,1.55,0.71,1.34,1.20,0.77,1.96,0.97,1.74
90,Troyes,fr Ligue 1,25,26.7,42.6,38,418,"3,420",38.0,30,21,51,28,2,3,78,7,38.0,35.7,26.5,62.2,564,1333,0.79,0.55,1.34,0.74,1.29,1.00,0.70,1.70,0.94,1.64
91,Udinese,it Serie A,27,26.5,44.7,38,418,"3,420",38.0,45,27,72,38,7,7,72,,43.2,37.7,29.4,67.1,605,1364,1.18,0.71,1.89,1.00,1.71,1.14,0.77,1.91,0.99,1.77
92,Valencia,es La Liga,25,24.8,48.6,38,418,"3,420",38.0,63,45,108,55,8,8,107,5,56.0,49.8,39.9,89.7,739,1563,1.66,1.18,2.84,1.45,2.63,1.47,1.05,2.52,1.31,2.36
93,Villarreal,es La Liga,32,26.6,50.4,38,418,"3,420",38.0,56,45,101,52,4,5,117,6,53.3,49.3,42.0,91.3,719,1453,1.47,1.18,2.66,1.37,2.55,1.40,1.11,2.51,1.30,2.40
94,Watford,eng Premier League,29,27.9,49.7,38,418,"3,420",38.0,42,27,69,39,3,6,65,,45.0,40.2,29.2,69.4,647,1455,1.11,0.71,1.82,1.03,1.74,1.19,0.77,1.95,1.06,1.83
95,Werder Bremen,de Bundesliga,25,26.3,47.4,34,374,"3,060",34.0,34,27,61,34,0,0,55,,38.9,38.9,31.6,70.5,572,1473,1.00,0.79,1.79,1.00,1.79,1.14,0.93,2.07,1.14,2.07
96,West Brom,eng Premier League,24,29.1,40.7,38,418,"3,420",38.0,31,24,55,30,1,1,73,,36.5,35.7,25.9,61.6,507,1106,0.82,0.63,1.45,0.79,1.42,0.96,0.68,1.64,0.94,1.62
97,West Ham,eng Premier League,27,28.0,45.2,38,418,"3,420",38.0,48,29,77,46,2,4,75,,36.7,33.6,24.9,58.4,523,1179,1.26,0.76,2.03,1.21,1.97,0.97,0.65,1.62,0.88,1.54
98,Wolfsburg,de Bundesliga,29,25.1,49.3,34,374,"3,060",34.0,36,26,62,35,1,6,65,,34.2,29.7,21.5,51.2,502,1304,1.06,0.76,1.82,1.03,1.79,1.01,0.63,1.64,0.87,1.51
1,Alavés,es La Liga,26,26.7,42.7,38,418,"3,420",38.0,39,27,66,37,2,3,101,1,41.1,38.8,29.0,67.8,511,1113,1.03,0.71,1.74,0.97,1.68,1.08,0.76,1.85,1.02,1.79
2,Amiens,fr Ligue 1,26,26.5,46.5,38,418,"3,420",38.0,30,22,52,28,2,3,62,6,35.4,33.0,23.4,56.4,518,1274,0.79,0.58,1.37,0.74,1.32,0.93,0.62,1.55,0.87,1.48
3,Angers,fr Ligue 1,24,28.0,43.3,38,418,"3,420",38.0,42,27,69,37,5,10,49,4,50.7,42.8,33.5,76.3,700,1320,1.11,0.71,1.82,0.97,1.68,1.33,0.88,2.22,1.13,2.01
4,Arsenal,eng Premier League,28,26.7,58.1,38,418,"3,420",38.0,69,52,121,65,4,5,74,2,60.1,56.0,46.7,102.7,868,1874,1.82,1.37,3.18,1.71,3.08,1.58,1.23,2.81,1.47,2.70
5,Atalanta,it Serie A,27,26.5,57.3,38,418,"3,420",38.0,75,60,135,73,2,4,63,3,72.2,69.0,55.8,124.8,1104,1939,1.97,1.58,3.55,1.92,3.50,1.90,1.47,3.37,1.82,3.28
6,Athletic Club,es La Liga,27,27.6,50.0,38,418,"3,420",38.0,39,26,65,34,5,7,120,4,43.4,37.8,30.7,68.5,626,1452,1.03,0.68,1.71,0.89,1.58,1.14,0.81,1.95,0.99,1.80
7,Atlético Madrid,es La Liga,29,26.4,49.2,38,418,"3,420",38.0,53,36,89,50,3,4,103,5,47.3,44.1,35.3,79.5,677,1386,1.39,0.95,2.34,1.32,2.26,1.24,0.93,2.17,1.16,2.09
8,Augsburg,de Bundesliga,30,26.5,46.4,34,374,"3,060",34.0,50,33,83,45,5,5,55,1,45.3,41.8,32.0,73.9,515,1158,1.47,0.97,2.44,1.32,2.29,1.33,0.94,2.28,1.23,2.17
9,Barcelona,es La Liga,30,27.7,64.4,38,418,"3,420",38.0,88,61,149,80,8,9,77,2,75.8,68.7,55.8,124.6,851,2110,2.32,1.61,3.92,2.11,3.71,1.99,1.47,3.46,1.81,3.28
10,Bayern Munich,de Bundesliga,24,27.4,65.7,34,374,"3,060",34.0,86,62,148,83,3,4,44,2,85.6,82.4,66.1,148.5,960,2192,2.53,1.82,4.35,2.44,4.26,2.52,1.94,4.46,2.42,4.37
11,Betis,es La Liga,25,26.7,61.8,38,418,"3,420",38.0,43,30,73,38,5,7,89,1,47.1,41.5,32.9,74.4,887,1631,1.13,0.79,1.92,1.00,1.79,1.24,0.87,2.10,1.09,1.96
12,Bologna,it Serie A,29,27.0,44.9,38,418,"3,420",38.0,45,35,80,40,5,5,94,6,46.8,42.9,30.8,73.7,675,1328,1.18,0.92,2.11,1.05,1.97,1.23,0.81,2.04,1.13,1.94
13,Bordeaux,fr Ligue 1,33,25.3,50.1,38,418,"3,420",38.0,34,26,60,29,5,6,74,5,39.7,35.0,29.5,64.5,742,1374,0.89,0.68,1.58,0.76,1.45,1.05,0.78,1.82,0.92,1.70
14,Bournemouth,eng Premier League,28,26.6,46.9,38,418,"3,420",38.0,55,43,98,48,7,9,60,1,53.3,46.2,38.8,85.0,738,1435,1.45,1.13,2.58,1.26,2.39,1.40,1.02,2.42,1.22,2.24
15,Brighton,eng Premier League,21,27.4,42.4,38,418,"3,420",38.0,35,24,59,30,5,6,62,4,35.3,30.7,24.5,55.2,475,1150,0.92,0.63,1.55,0.79,1.42,0.93,0.64,1.57,0.81,1.45
16,Burnley,eng Premier League,23,28.0,41.2,38,418,"3,420",38.0,43,32,75,41,2,2,75,1,44.4,42.8,31.2,74.0,421,1032,1.13,0.84,1.97,1.08,1.92,1.17,0.82,1.99,1.13,1.95
17,Caen,fr Ligue 1,26,25.8,44.0,38,418,"3,420",38.0,29,17,46,25,4,4,83,6,31.0,27.9,20.6,48.5,500,1019,0.76,0.45,1.21,0.66,1.11,0.82,0.54,1.36,0.73,1.28
