Rk,Squad,Competition,# of Players,Weekly Wages,Annual Wages,% Estimated,Season
1,Barcelona,es La Liga,33,"€ 4,682,115 (£ 3,925,993, $4,771,599)","€ 243,470,000 (£ 204,151,634, $248,123,125)",100%,2017-2018
2,Real Madrid,es La Liga,33,"€ 3,949,904 (£ 3,312,027, $4,025,393)","€ 205,395,000 (£ 172,225,426, $209,320,446)",100%,2017-2018
3,Paris S-G,fr Ligue 1,35,"€ 3,895,462 (£ 3,266,377, $3,969,910)","€ 202,564,000 (£ 169,851,608, $206,435,344)",100%,2017-2018
4,Manchester Utd,eng Premier League,35,"€ 3,810,955 (£ 3,195,596, $3,883,356)","€ 198,169,670 (£ 166,171,000, $201,934,520)",100%,2017-2018
5,Arsenal,eng Premier League,45,"€ 3,629,433 (£ 3,043,385, $3,698,385)","€ 188,730,521 (£ 158,256,000, $192,316,043)",100%,2017-2018
6,Bayern Munich,de Bundesliga,38,"€ 3,491,942 (£ 2,928,023, $3,558,679)","€ 181,581,000 (£ 152,257,190, $185,051,324)",100%,2017-2018
7,Manchester City,eng Premier League,32,"€ 3,474,446 (£ 2,913,423, $3,540,453)","€ 180,671,167 (£ 151,498,000, $184,103,578)",100%,2017-2018
8,Chelsea,eng Premier League,46,"€ 2,790,189 (£ 2,339,654, $2,843,197)","€ 145,089,806 (£ 121,662,000, $147,846,240)",100%,2017-2018
9,Juventus,it Serie A,33,"€ 2,717,212 (£ 2,278,405, $2,769,142)","€ 141,295,000 (£ 118,477,041, $143,995,386)",100%,2017-2018
10,Liverpool,eng Premier League,34,"€ 2,194,158 (£ 1,839,865, $2,235,843)","€ 114,096,241 (£ 95,673,000, $116,263,857)",100%,2017-2018
11,Milan,it Serie A,42,"€ 2,035,731 (£ 1,706,977, $2,074,637)","€ 105,858,000 (£ 88,762,823, $107,881,122)",100%,2017-2018
12,Everton,eng Premier League,48,"€ 1,959,476 (£ 1,643,077, $1,996,702)","€ 101,892,731 (£ 85,440,000, $103,828,499)",100%,2017-2018
13,Atlético Madrid,es La Liga,37,"€ 1,895,154 (£ 1,589,102, $1,931,373)","€ 98,548,000 (£ 82,633,324, $100,431,417)",100%,2017-2018
14,Tottenham,eng Premier League,34,"€ 1,841,549 (£ 1,544,192, $1,876,535)","€ 95,760,561 (£ 80,298,000, $97,579,832)",100%,2017-2018
15,West Ham,eng Premier League,41,"€ 1,594,665 (£ 1,337,173, $1,624,961)","€ 82,922,601 (£ 69,533,000, $84,497,976)",100%,2017-2018
16,Dortmund,de Bundesliga,33,"€ 1,593,981 (£ 1,336,566, $1,624,444)","€ 82,887,000 (£ 69,501,446, $84,471,113)",100%,2017-2018
17,Southampton,eng Premier League,29,"€ 1,561,182 (£ 1,309,096, $1,590,841)","€ 81,181,461 (£ 68,073,000, $82,723,752)",100%,2017-2018
18,Crystal Palace,eng Premier League,41,"€ 1,560,448 (£ 1,308,481, $1,590,094)","€ 81,143,294 (£ 68,041,000, $82,684,869)",100%,2017-2018
19,Napoli,it Serie A,40,"€ 1,495,019 (£ 1,253,586, $1,523,592)","€ 77,741,000 (£ 65,186,483, $79,226,760)",100%,2017-2018
20,Inter,it Serie A,34,"€ 1,488,923 (£ 1,248,475, $1,517,379)","€ 77,424,000 (£ 64,920,676, $78,903,702)",100%,2017-2018
21,Leicester City,eng Premier League,34,"€ 1,470,226 (£ 1,232,827, $1,498,157)","€ 76,451,744 (£ 64,107,000, $77,904,185)",100%,2017-2018
22,Roma,it Serie A,47,"€ 1,413,231 (£ 1,185,006, $1,440,240)","€ 73,488,000 (£ 61,620,307, $74,892,476)",100%,2017-2018
23,West Brom,eng Premier League,33,"€ 1,354,341 (£ 1,135,654, $1,380,071)","€ 70,425,716 (£ 59,054,000, $71,763,674)",100%,2017-2018
24,Sevilla,es La Liga,33,"€ 1,318,865 (£ 1,105,880, $1,344,071)","€ 68,581,000 (£ 57,505,743, $69,891,700)",100%,2017-2018
25,Monaco,fr Ligue 1,38,"€ 1,314,423 (£ 1,102,155, $1,339,544)","€ 68,350,000 (£ 57,312,046, $69,656,287)",100%,2017-2018
26,Valencia,es La Liga,31,"€ 1,168,827 (£ 980,071, $1,191,165)","€ 60,779,000 (£ 50,963,701, $61,940,590)",100%,2017-2018
27,Stoke City,eng Premier League,35,"€ 1,124,956 (£ 943,308, $1,146,328)","€ 58,497,686 (£ 49,052,000, $59,609,032)",100%,2017-2018
28,Lazio,it Serie A,44,"€ 1,122,635 (£ 941,339, $1,144,090)","€ 58,377,000 (£ 48,949,604, $59,492,678)",100%,2017-2018
29,Wolfsburg,de Bundesliga,33,"€ 1,119,346 (£ 938,581, $1,140,739)","€ 58,206,000 (£ 48,806,218, $59,318,416)",100%,2017-2018
30,Swansea City,eng Premier League,37,"€ 1,095,623 (£ 918,712, $1,116,438)","€ 56,972,393 (£ 47,773,000, $58,054,764)",100%,2017-2018
